	Alternate Symbols
PART1	DKFZP586D0823,NCRNA00206
PIRC20	
PIRC21	
PIRC22	
PIRC23	
POC5	FLJ35779,MGC120442,MGC120443,MGC120444,hPOC5
PPIP5K2	KIAA0433,VIP2
RICTOR	AVO3,KIAA1999,MGC39830,PIA
SLC25A48	FLJ44862,HDMCP
SPATA24	CCDC161,T6441
SPINK13	HBVDNAPTP1,HESPINTOR,LiESP6,MGC149260,SPINK5L3
SPINK14	SPINK5L2
TMED7-TICAM2	
TMEM232	FLJ43080
UBE2QL1	FLJ25076
ZNF879	DKFZp686E2433
AFAP1-AS1	MGC10981
AP1AR	2C18,PRO0971,gamma-BAR
ARHGEF38	FLJ20184
C4orf50	FLJ46481
C4orf51	
SMIM20	
CLDN24	
CWH43	CWH43-C,FLJ21511
DCAF16	FLJ20280
DCAF4L1	
DTHD1	FLJ16686
DUX4L2	
DUX4L3	
DUX4L4	
DUX4L5	
DUX4L6	
DUX4L7	
CCSER1	KIAA1680
FAM193A	RES4-22
FAM198B	DKFZp434L142,FLJ38155
FAM200B	C4orf53
HAUS3	IT1,MGC4701,dgt3
HPGDS	GSTS,GSTS1-1,H-PGDS,PGD2,PGDS
LARP1B	DKFZp434K245,DKFZp686E0316,FLJ10378
MIR3138	hsa-mir-3138
MIR3139	hsa-mir-3139
MIR3140	hsa-mir-3140
MIR4274	hsa-mir-4274
MIR4275	hsa-mir-4275
MIR4276	hsa-mir-4276
MIR548T	hsa-mir-548t
NAA11	ARD2,hARD2
NAA15	FLJ13340,NATH,TBDN100
WDFY3-AS2	FBI4
PARM1	Cipar1,DKFZP564O0823,WSC4
PIRC16	
PIRC17	
PIRC18	
PIRC19	
PRMT10	FLJ46629
PRSS48	ESSPL
SCRG1	SCRG-1
SEL1L3	KIAA0746
TADA2B	MGC21874
TBCK	HSPC302,MGC16169
TECRL	DKFZp313B2333,DKFZp313D0829,GPSN2L,SRD5A2L2,TERL
TMEM150C	FLJ12993
TMPRSS11BNL	FLJ41562
TOMM22P4	
USP17L5	
ZBTB12P1	ZNF920
ZBTB49	FLJ38559
ARHGEF33	
ATG12P2	
BOK-AS1	NAToB,NCRNA00151
LINC00299	FLJ45673
TRABD2A	
CDK15	PFTAIRE2
CIR1	CIR
CPS1-IT1	CPS1-IT,PRO0132
DCAF17	FLJ13096
DDX11L2	
ENO1P4	
EPT1	KIAA1724,SELI,SEPI
ERLEC1	CL25084,ERLECTIN,XTP3-B,XTP3TPB
FAM201B	
GPAT2	CT123
NYAP2	
MFSD2B	
MIR2355	hsa-mir-2355
MIR3125	hsa-mir-3125
MIR3126	hsa-mir-3126
MIR3127	hsa-mir-3127
MIR3128	hsa-mir-3128
MIR3129	hsa-mir-3129
MIR3130-1	hsa-mir-3130-1,hsa-mir-3130-3
MIR3130-2	hsa-mir-3130-2,hsa-mir-3130-4
MIR3131	hsa-mir-3131
MIR3132	hsa-mir-3132
MIR3133	hsa-mir-3133
ALG1L	ALG1L1
MIR4261	hsa-mir-4261
MIR4262	hsa-mir-4262
ALG1L2	
MIR4263	hsa-mir-4263
MIR4264	hsa-mir-4264
MIR4265	hsa-mir-4265
ARHGAP31	CDGAP
MIR4266	hsa-mir-4266
MIR4267	hsa-mir-4267
TOPAZ1	FLJ36157
MIR4268	hsa-mir-4268
MIR4269	hsa-mir-4269
MIR548S	hsa-mir-548s
SMIM4	
MZT2A	MOZART2A
C3orf79	
MZT2B	FLJ14346,MOZART2B
CDHR4	VLLR9392
CICP6	
COL6A5	FLJ35880,VWA4
NCKAP5	ERIH1,ERIH2,NAP5
NCRNA00211	
COL6A6	
LINC00276	
OST4	
EGOT	NCRNA00190
PIKFYVE	KIAA0981,MGC40423,PIKfyve,PIP5K,ZFYVE29,p235
ESYT3	CHR3SYT
PIRC10	
PIRC9	
FAM188B2	
PKDCC	SgK493,Vlk
FAM194A	MGC39662
POTEI	POTE2beta
POTEJ	POTE2beta
FAM198A	DKFZP434B172
PRR21	
GXYLT2	
RFX8	FLJ42986
KBTBD12	FLJ46299
RP52	
KRBOX1	
SPATS2L	DNAPTP6
LGMD1H	
TMEM150A	FLJ90024,TM6P1
MIR2115	hsa-mir-2115
TRIM43B	
MIR3134	hsa-mir-3134
MIR3135A	hsa-mir-3135
MIR3136	hsa-mir-3136
MIR3137	hsa-mir-3137
MIR378B	hsa-mir-378b
MIR4270	hsa-mir-4270
UNC80	FLJ33496,KIAA1843,UNC-80
MIR4271	hsa-mir-4271
MIR4272	hsa-mir-4272
MIR4273	hsa-mir-4273
VWC2L	
MIR466	hsa-mir-466
MIR544B	hsa-mir-544b
ZEB2-AS1	ZEB2NAT
MIR711	hsa-mir-711
NAA50	FLJ13194,NAT5,San
NCEH1	KIAA1363,NCEH
EGFEM1P	
NPRL2	NPR2,NPR2L
PIRC11	
PIRC12	
PIRC13	
PIRC14	
PIRC15	
POC1A	DKFZP434C245
PRR23A	
PRR23B	FLJ46116
PRR23C	FLJ46210
PRSS42	TESSP2
PRSS43	TESSP3
PRSS44	TESSP4
PRSS45	TESSP5
PRSS46	TESSP6
PRSS50	CT20,TSP50
TADA3	ADA3,FLJ20221,FLJ21329,NGG1,hADA3
TPRA1	FLJ32197,TMEM227,TPRA40
TRANK1	LBA1
TXNRD3NB	TR2IT1,TXNRD3NT1
AK4	
AKNAD1	MGC26989
ANO7P1	
ATP1A1OS	MGC16179
PRRC2C	KIAA1096,XTP2
BTBD19	
C1orf229	FLJ45717
RIIAD1	FLJ36032
C2CD4D	FAM148D
CCDC30	FLJ20972,LOC728621,PFD6L
CELA2A	ELA2A
CELA2B	ELA2B,RP11-265F14.2
CICP7	
CNST	FLJ32001,PPP1R64
DCAF6	PC326
DCAF8	FLJ35857,H326
DDX11L1	
DFNB54	
DRAM2	MGC54289,PRO180,RP5-1180E21.1,WWFQ154
FAM202A	
HBXIPP1	
KDM1A	BHC110,KIAA0601,LSD1
TP73-AS1	PDAM
LACTBL1	
LIN28A	CSDD1,FLJ12457,LIN-28,ZCCHC1
MEAF6	CENP-28,Eaf6,FLJ11730,NY-SAR-91
MFSD2A	FLJ14490
MIIP	FLJ12438,IIp45
MIR1273D	hsa-mir-1273d
MIR3115	hsa-mir-3115
MIR3116-1	hsa-mir-3116-1
MIR3116-2	hsa-mir-3116-2
MIR3117	hsa-mir-3117
MIR3118-1	hsa-mir-3118-1
MIR3118-2	hsa-mir-3118-2
MIR3118-3	hsa-mir-3118-3
MIR3119-1	hsa-mir-3119-1
MIR3119-2	hsa-mir-3119-2
MIR3120	hsa-mir-3120
MIR3121	hsa-mir-3121
MIR3122	hsa-mir-3122
MIR3123	hsa-mir-3123
MIR3124	hsa-mir-3124
MIR4251	hsa-mir-4251
MIR4252	hsa-mir-4252
MIR4253	hsa-mir-4253
MIR4254	hsa-mir-4254
MIR4255	hsa-mir-4255
MIR4256	hsa-mir-4256
MIR4257	hsa-mir-4257
MIR4258	hsa-mir-4258
MIR4259	hsa-mir-4259
MIR4260	hsa-mir-4260
MIR761	hsa-mir-761
NBPF23	
NBPF24	
LINC00184	HANC
HNRNPU-AS1	FLJ30202,FLJ37978
NCRNA00210	
LINC00272	RP1-223H12.3
NPPA-AS1	
OSCP1	NOR1
PIRC1	
PIRC2	
PIRC3	
PIRC4	
PIRC5	
PIRC6	
PIRC7	
PIRC8	
PPIAL4D	
PPIAL4F	
PRSS38	MPN2
RBMXL1	KAT3
RNVU1-9	vU1.9
RPF1	
SIKE1	FLJ21168,SIKE
SLC35E2B	
TADA1	ADA1,HFI1,STAF42,hADA1
TMEM88B	
TRNAC33	
TRNAE44	
TRNAG37	
TRNAN37	
TRNAN38	
TRNAQ55	
TRNAV38	
TRNAV39	
TSTD1	KAT
WLS	EVI,FLJ23091,MRP,mig-14,wls
YWHAQP9	
ZBED6	
ARHGAP36	FLJ30058
ASMTL-AS1	FLJ13330
CCDC160	
DCAF12L1	KIAA1892L
DCAF12L2	
DCAF8L1	
DCAF8L2	
DDX11L15	
DHRSXIT1	
DPH3P2	
EEF1A1P40	
FABP5L13	
FAM199X	
FNDC3CP	
HAUS7	UIP1
HDHD1	DXF68S1E,GS1
KRT18P53	
MIR1184-2	hsa-mir-1184-2
MIR1184-3	hsa-mir-1184-3
MIR2114	hsa-mir-2114
MIR3202-1	hsa-mir-3202-1
MIR3202-2	hsa-mir-3202-2
MIR4328	hsa-mir-4328
MIR4329	hsa-mir-4329
MIR4330	hsa-mir-4330
MIR500B	hsa-mir-500b
MIR514B	hsa-mir-514b
MIR718	hsa-mir-718
MIR764	hsa-mir-764
MTRNR2L10	
FTX	LINC00182
JPX	ENOX,LINC00183
FAM223A	SPCX
FAM223B	
FAM226A	MGC34827
FAM226B	
PIRC113	
PIRC114	
SRIP2	
TAB3	
BPY2DP	
CHEK2P1	
CSPG4P6Y	
CYorf17	
EEF1A1P41	
FAM197Y1	
FAM197Y10	
FAM197Y3	
FAM197Y4	
FAM197Y5	
FAM197Y6	
FAM197Y7	
FAM197Y8	
FAM197Y9	
FAM41AY1	
FAM41AY2	
GOLGA8KP	
GOLGA8LP	
GPM6BP1	
GPM6BP2	
HSFY5P	
HSFY6P	
HSFY7P	
HSFY8P	
MTCYBP2	
FAM224A	
FAM224B	
NCRNA00266D	
NCRNA00278	
NCRNA00279	
NCRNA00280	
NLGN4YAS	
PCMTD1P1	
PRYP5	
PRYP6	
RBMY1GP	
RBMY1KP	RBMY1K
REREP1Y	
REREP2Y	
SRIP3	
TCEB1P26	
TSPY10	
TSPY24P	
TSPY25P	
TSPY4	
TSPY8	
TTTY13B	
TTTY13C	
TTTY1B	
TTTY21B	
TTTY23B	
TTTY2B	
TTTY7B	NCRNA00215
TTTY8B	NCRNA00217
USP9YP12	
USP9YP13	
USP9YP14	
USP9YP15	
USP9YP16	
USP9YP17	
USP9YP18	
USP9YP19	
USP9YP20	
USP9YP21	
USP9YP22	
USP9YP23	
USP9YP24	
USP9YP25	
USP9YP26	
USP9YP27	
USP9YP28	
USP9YP29	
USP9YP30	
USP9YP31	
USP9YP32	
USP9YP33	
USP9YP34	
USP9YP35	
USP9YP36	
ZFYAS	
ZNF736P5Y	
HCAR2	HCA2,HM74A,NIACR1,PUMAG,Puma-g
FMO3	
MT-ATP6	ATP6,ATPase-6,Su6m
MT-ATP8	A6L,ATP8
MT-CO1	COI,COX1
MT-CO2	CO2,COX2
MT-CO3	CO3,COIII,COX3
MT-CYB	CYTB,UQCR3
MT-ND1	NAD1,ND1
MT-ND2	NAD2,ND2
MT-ND3	NAD3,ND3
MT-ND4	NAD4,ND4
MT-ND4L	NAD4L,ND4L
MT-ND5	NAD5,ND5
MT-ND6	NAD6,ND6
UGT1A	UGT
ZNF106	SH3BP3,ZNF474
ZNF112	
OVOL3	
CPQ	LDP,PGCP
LEPREL4	NO55,SC65
ARPP21	ARPP-21,R3HDM3,TARPP
CHP1	CHP,SLC9A1BP,Sid470p,p22,p24
RBFOX1	A2BP1,FOX-1,HRNBP1
TMEM185B	FLJ20979
TUBB8	bA631M21.2
TRIL	KIAA0644
ACTRT3	ARPM1
CLMP	ACAM,ASAM,FLJ22415
APOBR	APOB100R,APOB48R
BEAN1	
CMIP	
CCP110	CP110,KIAA0419
ARHGEF26	DKFZP434D146,SGEF
FAM228B	
MOB2	HCCA2
CHP2	
C19orf80	ANGPTL8,RIFL,TD26
LGALSL	GRP,HSPC159
AP5B1	AP-5,DKFZp761E198,PP1030
EBLN2	
ARHGEF40	FLJ10357
ENDOV	FLJ35220
SSC5D	FLJ35258
CCDC71L	FLJ36031
C5orf64	FLJ37543
MTFP1	HSPC242,MTP18
PLK5	SgK384ps
SLC22A31	
RBFOX3	FOX-3,HRNBP3,NeuN
SMIM17	
CASP16	
SMIM13	
TMEM235	
LINC00839	
C18orf42	
BOD1L2	MGC33608
SMIM2	MGC5590
SPPL2C	IMP5
ARHGAP44	KIAA0672,RICH-2,RICH2
KAZN	FLJ43806,KAZRIN,KIAA1026
PAM16	Magmas,TIMM16,Tim16
N4BP3	LZTS4
SLC51A	OSTalpha
SLC51B	OSTbeta
HELZ2	KIAA1769,PDIP1,PRIC285
MZB1	HSPC190,MEDA-7,MGC29506,PACAP,pERp1
SPPL2A	IMP3,PSL2
PDPR	PDP3
ARHGEF25	GEFT,p63RhoGEF
ARHGEF28	RGNEF,RIP2,p190RhoGEF
VIMP	AD-015,MGC2553,SBBI8,SELS,SEPS1
SPPL3	DKFZP586C1324,IMP2,MGC126674,MGC126676,MGC90402,PSL4
SRGAP2C	
SPPL2B	IMP4,KIAA1532,PSL1
U2SURP	SR140,fSAPa
PRSS57	UNQ782
GVQW1	bA205M20.5
MT1HL1	
METAP1D	MAP1D,Metap1l
SLCO1B7	LST3,SLC21A21
ANKRD36C	DKFZp667P0924
ZNF788	FLJ46419
CT47A12	CT47.12
SYT14L	CHR415SYT,SYTDEP
CXorf67	
RESP18	
C7orf76	FLJ42280
OTOL1	C1QTNF15
C1QTNF9B	CTRP9B
LRRD1	IMAGE:4798971
C11orf89	LOC728008
ANKRD30BL	
ZNF587B	
USP17L7	
USP17L8	
MBD3L5	
MBD3L3	
MBD3L4	
KLLN	killin
MEF2BNB	
SPATA31D1	FLJ46321
CTAGE15	
SPATA31D4	FLJ43859
SPATA31D3	FLJ44082
GOLGA8K	
ZNF891	
SDIM1	
TRIM49C	
KCNJ18	KIR2.6,TTPP2
PRSS58	TRYX3
EBLN1	
PRSS56	
MUC22	PBMUCL1
LIMS3L	
RNF223	
ZMYM6NB	
IFITM10	
MANSC4	
ANHX	
TEX22	
ANKRD63	
UBAP1L	
RPS17L	
SMIM5	
C16orf96	
SMIM6	
C16orf95	
LRRC3C	
C18orf63	DKFZP781G0119
PET100	
LGALS16	
IGSF23	
C19orf81	
TMEM238	
TMEM239	
PET117	
SEC14L6	
C3orf80	
GMNC	GEMC1
MCIDAS	IDAS,MCI
C3orf83	
TSTD3	
RD3L	TDRD9AS1
PROB1	
STEAP1B	
SAP25	FLJ00248
C7orf73	PL-5283
CCDC166	
FAM205A	C9orf144B
RNF224	
SMIM10	
PNMA6C	
SMIM9	
PNMA6D	
C4B_2	
NCR3LG1	B7-H6,DKFZp686O24166
BTNL10	
ANKRD65	
C1orf233	
TRIM49B	
BCL2L2-PABPN1	
TP53TG3C	
C17orf112	
C2orf91	
TMEM247	
LRRC72	
SMIM18	
C8orf87	
MROH5	FLJ43860
MYZAP	GCOM1,Gup,Gup1,MYOZAP
SMKR1	
FSBP	
THEGL	
SRGAP2D	
PTGES3L	
TRIM49D1	TRIM49D
TMEM178B	DKFZp547G036
GIMD1	
TGFBR3L	
TMEM249	C8orfK29
TPBGL	
LRCOL1	
NUPR1L	
APOBEC3A_B	
FAM227A	
TRABD2B	
ARL14EPL	
SMIM1	Vel
MPC1L	
PINLYP	
LYPD8	
PPP5D1	
PYURF	
C13orf45	
ERICH2	
GOLGA8M	
GOLGA8N	
GOLGA8O	
GOLGA8R	
USP17L10	
USP17L11	
USP17L12	
USP17L13	
USP17L15	
USP17L17	
USP17L18	
USP17L19	
USP17L20	
USP17L21	
USP17L22	
USP17L23	
USP17L25	
USP17L24	
USP17L26	
USP17L27	
USP17L28	
USP17L29	
USP17L30	
IFNL4	IFNAN
FAM229A	
CCDC179	
TP53TG3D	
C16orf97	
STMND1	FLJ23152
ANKRD66	
SMLR1	
C16orf98	
TDRD15	
RFPL4AL1	
TBX5-AS1	
FPGS	
GCNT1	C2GNT,NAGCT2
GCNT2	IGNT,NAGCT1,ULG3,bA360O19.2,bA421M1.1
NAT1	
GH1	GH,GH-N,GHN,hGH-N
GNAI1	
GNAI3	87U6
GNAQ	G-ALPHA-q,GAQ
GNAS	GNASXL,GPSA,NESP,NESP55,SCG6
GNB3	
SFN	YWHAS
GP1BA	CD42b
GP1BB	CD42c
NAT2	
GRK5	
NR3C1	GR
GSTM1	H-B
GSTT1	
MSH6	
GUCY1B2	GC-SB2
GUCY1A2	GC-SA2
GUCY2D	CYGD,LCA1,RETGC-1,ROS-GC1,retGC
HMGB1	DKFZp686A04236,HMG3,SBP-1
HMGCR	
ACAT2	
HNMT	
SLC29A2	DER12
HTR1A	5-HT1A
HTR2A	5-HT2A
HTR2C	5-HT2C
IL2	IL-2,TCGF
IL2RG	CD132
IL4	BCGF-1,BCGF1,BSF1,IL-4,MGC79402
IL6	BSF2,HGF,HSF,IL-6
IL13	ALRH,BHR1,IL-13,MGC116786,MGC116788,MGC116789,P600
	
IL13RA1	CD213a1,IL-13Ra,NR4
INS	
APEX1	APE-1,APEN,APX,HAP1,REF-1,REF1
CYP2D8P2	
CYP2D7P2	
CYP2D8P1	
FOXA1	
FOXA2	
FOXA3	
FOXP3	AIID,JM2,PIDX,SCURFIN,XPID
INSR	CD220
IRS1	HIRS-1
ITGA2	CD49b
ITGB3	CD61,GPIIIa
KCNA2	HK4,Kv1.2
KCNA4	HK1,HPCN2,Kv1.4
KCNA5	HK2,HPCN1,Kv1.5
KCNB1	Kv2.1
ACOX1	PALMCOX
KCND3	KSHIVB,Kv4.3
KCNE1	ISK,JLNS2,LQT5
KCNH2	HERG,Kv11.1,erg1
KCNJ1	Kir1.1,ROMK1
KCNJ2	IRK1,Kir2.1,LQT7
KCNJ3	GIRK1,KGA,Kir3.1
KCNJ5	CIR,GIRK4,KATP1,Kir3.4,LQT13
KCNJ11	BIR,Kir6.2
KCNJ12	IRK2,Kir2.2,Kir2.2v,hIRK1
KCNK1	DPK,K2p1.1,TWIK-1
KCNMA1	KCa1.1,mSLO1
KCNMB1	hslo-beta
KCNN4	KCa3.1,hIKCa1,hKCa4,hSK4
KCNQ1	JLNS1,KCNA8,KVLQT1,Kv7.1,LQT1
SLC17A8	VGLUT3
KLK1	Klk6
KNG1	BK
LCAT	
LDLR	
LEP	
LEPR	CD295,OBR
ACTN4	
LIPC	HL,HTGL
LMNA	HGPS
LPL	
LRP1	CD91,LRP,LRP1A
CYP4F3	CYP4F
LTC4S	MGC33147
MAOA	
MAOB	
MAPT	FLJ31424,FTDP-17,MGC138549,MSTD,MTBT1,MTBT2,PPND
	
ACTN1	
MLH1	FCC2,HNPCC,HNPCC2
MLL	ALL-1,CXXC7,HRX,HTRX1,KMT2A,MLL1A,TRX1
NR3C2	MR
NKX2-5	CSX1,NKX2.5,NKX4-1
MPO	
GFI1	GFI-1,GFI1A
LTA4H	
PTGS1	COX1,PGHS-1,PTGHS
GNAI2	GIP
DDR1	CD167,RTK6
FEB1	
FEB2	
FEB4	
SEPT1	PNUTL3
SEPT3	
A1BG	
A2M	CPAMD5,FWP007,S863-7
A2MP1	
A4GALT	A14GALT,Gb3S,P(k)
AAAS	
AACP	NATP
AADAC	CES5A1,DAC
AADAT	KAT2,KATII
AAMP	
AANAT	SNAT
AARS	
AASDHPPT	AASD-PPT,CGI-80,LYS5
AASS	LKRSDH,LORSDH
AATK	AATYK,AATYK1,KIAA0641,LMR1,LMTK1
AAVS1	AAV
ABAT	GABAT
ABCA1	TGD
ABCA10	EST698739
ABCA11P	EST1133530,FLJ14297
ABCA2	
ABCA3	ABC-C,EST111653,LBM180
ABCA4	ARMD2,CORD3,FFM
ABCA5	EST90625
ABCA6	EST155051
ABCA7	ABCX
ABCA8	KIAA0822
ABCA9	EST640918
ABCB10	EST20237,M-ABC2,MTABC2
ABCB10P1	M-ABC2,MABC2
ABCB5	ABCB5alpha,ABCB5beta,EST422562
ABCB6	EST45597,MTABC3,umat
ABCB7	ASAT,Atm1p,EST140535
ABCB8	EST328128,M-ABC1,MABC1
ABCB9	EST122234
ABCC10	EST182763,MRP7,SIMRP7
ABCC11	MRP8
ABCC12	MRP9
ABCC8	ABC36,HHF1,MRP8,PHHI,SUR1,TNDM2
ABCD1	ALDP,AMN,adrenoleukodystrophy
ABCD1P1	
ABCD1P2	bA453N3.6
ABCD1P3	
ABCC1	GS-X
ABCD1P4	
ABCD2	ALDR,ALDRP
ABCD3	PMP70,ZWS2
ABCD4	EST352188,P70R,PMP69
ABCE1	OABP,RLI
ABCF1	EST123147
ABCF2	ABC28,EST133090,HUSSY-18,M-ABC1
ABCF3	EST201864
ABCG1	ABC8
ABCG4	WHITE2
ABCG5	STSL
ABCG8	GBD4
ABL1	JTK7,c-ABL,p150
ABL2	ARG
ABO	A3GALNT,A3GALT1
ABP1	AOC1,DAO
ABR	MDB
ABTB1	BPOZ,BTBD21,Btb3,EF1ABP
ACAA1	
ACAA2	DSAEC
ACACA	ACC1
ACACB	ACC2,ACCB,HACC275
ACAD8	
ACADL	ACAD4,LCAD
ACADM	ACAD1,MCAD,MCADH
ACADS	ACAD3
ACADSB	ACAD7,SBCAD
ACADVL	ACAD6,LCACD,VLCAD
ACSS2	ACS,ACSA,AceCS,dJ1161H23.1
ACSS1	AceCS2L,MGC33843,dJ568C11.3
ACAT1	THIL
SLC33A1	AT-1,AT1
ASIC2	ASIC2a,BNC1,BNaC1,MDEG,hBNaC1
ASIC1	BNaC2,hBNaC2
ASIC3	DRASIC,TNaC1
ACHM1	
ACLS	
ACLY	ACL,ATPCL,CLATP
ACO1	IREBP,IRP1
ACO2	ACONM
ACOX2	BRCACOX,BRCOX,THCCox
ACOX3	
ACP1	
ACP2	
ACP5	
ACPP	ACP-3,ACP3
ACPT	
ACR	
ACRBP	CT23,OY-TES-1,SP32
ACRC	
ACRV1	D11S4365,SP-10,SPACA2
ACTA1	NEM3
ACTA2	ACTSA
ACTB	
POTEH	CT104.7,POTE22
ACTBP1	
ACTBP2	
ACTBP3	
ACTBP4	
ACTBP5	
ACTBP6	
ACTBP7	
ACTBP8	ACTBP2
ACTBP9	
ACTG1	
ACTG2	ACTSG
ACTG1P1	
ACTG1P2	
ACTG1P3	
ACTGP4	
ACTGP5	
ACTG1P6	
ACTG1P7	
ACTG1P8	
ACTG1P9	
ACTG1P10	
ACTL4	
ACTL5	
ACTL6B	BAF53B
ACTL7A	
ACTL7B	Tact1
ACTN3	
ACTR1A	ARP1
ACTR1B	
ACTR2	ARP2
ACTR3	ARP3
ACTR5	Arp5,FLJ12785,INO80M
ACTR8	INO80N
ACVR1	ACVR1A,ALK2,SKR1
ACVR1B	ALK4,ActRIB,SKR2
ACVR2A	ACTRII
ACVR2B	ActR-IIB
ACVRL1	ALK1,HHT,HHT2
ACY1	
ACYP1	
MTHFR	
ACYP2	
AD5	
ADA	
ADAM1A	ADAM1P,FTNAP,Ftna,PH-30a
ADAM10	CD156c,HsT18717,MADM,kuz
ADAM11	
ADAM12	MCMPMltna,MLTN
ADAM15	MDC15
ADAM17	CD156B,cSVP
ADAM18	ADAM27,tMDCIII
ADAM19	MLTNB
ADAM2	CT15,PH-30b,PH30
ADAM20	
ADAM21	ADAM31
ADAM22	MDC2
ADAM23	MDC3
ADAM28	ADAM23,MDC-Lm,MDC-Ls,eMDCII
ADAM29	CT73,svph1
ADAM30	svph4
ADAM33	DKFZp434K0521,dJ964F7.1
ADAM3A	ADAM3,tMDCI
ADAM3B	
ADAM5	tMDCII
ADAM6	tMDCIV
ADAM7	EAPI,GP-83
ADAM8	CD156,MS2
ADAM9	KIAA0021,MCMP,MDC9,Mltng
ADAMDEC1	M12.219
ADAMTS1	C3-C5,KIAA1346,METH1
ADAMTS10	ADAM-TS10
ADAMTS12	
ADAMTS13	DKFZp434C2322,FLJ42993,MGC118899,MGC118900,TTP,VWFCP,vWF-CP
ADAMTS14	
ADAMTS15	
ADAMTS16	ADAMTS16s
ADAMTS17	FLJ16363,FLJ32769
ADAMTS18	
ADAMTS19	
ADAMTS2	ADAM-TS2,ADAMTS-3,NPI,PCINP,hPCPNI
ADAMTS3	ADAMTS-4,KIAA0366
ADAMTS4	ADAMTS-2,ADMP-1,KIAA0688
ADAMTS5	ADAMTS11,ADMP-2
ADAMTS6	ADAM-TS6
ADAMTS7	ADAM-TS7,DKFZp434H204
ADAMTS8	ADAM-TS8,FLJ41712,METH2
ADAMTS9	KIAA1312
ADAMTSL1	ADAMTSR1,FLJ35283
ADAR	ADAR1
ADARB1	ADAR2,ADAR2a,ADAR2a-L1,ADAR2a-L2,ADAR2a-L3,ADAR2b,ADAR2c,ADAR2d,ADAR2g,DRABA2,DRADA2,RED1,hRED1
ADARB2	ADAR3,RED2,hRED2
ADAT1	
ADCP1	
ADCY1	AC1
ADCY2	AC2,HBAC2,KIAA1060
ADCY4	AC4
ADCY5	AC5
ADCYAP1	PACAP
ADCYAP1R1	PAC1,PAC1R,PACAPR
ADD2	ADDB
ADD3	
ADFN	
PLIN2	ADRP
ADH1A	
ADH1B	
ADH1C	
ADH4	ADH-2
ADH5	ADH-3,ADHX
ADH6	ADH-5
ADH7	ADH-4
ADK	AK
ADM	
ADNP	ADNP1,KIAA0784
ADORA1	RDC7
ADORA2A	RDC8
ADORA2B	
ADORA2BP1	
ADORA3	AD026
ADPRH	ARH1
PARP4	VAULT3,VPARP,VWA5C,p193
PARP2	
PARP3	ADPRT3,IRT1,hPARP-3,pADPRT-3
PARP4P3	
PARP1P1	
PARP1P2	
ADRA1D	ADRA1,ADRA1A,ADRA1R
ADRB3	
ADRM1	ARM1,GP110,Rpn13
ADSL	
ADSS	
AP1B1P1	dJ127L4.2
AP1B1P2	dJ127L4.3
AEBP1	ACLP
CRISP1	ARP,CRISP-1,HSCRISP1D,HSCRISP1G,HUMARP
AES	GRG5,TLE5
AF8T	
AFA	
AFD1	
AFG3L1P	
AFG3L2	
AFM	ALB2,ALBA
AFP	
AGA	ASRG
ACAN	CSPGCP
AGER	
AGL	
AGMAT	FLJ23384
AGMX2	
AGPAT1	LPAAT-alpha
AGPAT2	
AGPAT3	LPAAT-gamma
AGPS	ADAP-S,ADAS,ADHAPS,ADPS,ALDHPSY
AGR2	AG2,HAG-2,PDIA17,XAG-2
AGRN	AGRIN
AGRP	ASIP2,Agrt
AGTPBP1	KIAA1035,Nna1
AGXT	AGT,AGT1,AGXT1,PH1,SPT
AGXT2	AGT2
AGXT2L1	
AHCY	SAHH
AHCYL1	IRBIT,XPVKONA
AHRR	KIAA1234,bHLHe77
AHNAK	MGC5395
AHR	bHLHe76
AHSG	A2HS,FETUA,HSGA
AIC	
AICDA	ARP2,CDA2,HIGM2
AIED	
AIF1	AIF-1,Em:AF129756.17,IBA1,IRT-1
AIH3	
AIM1	CRYBG1,ST4
AIM1L	CRYBG2,FLJ38020
AIM2	PYHIN4
AIP	ARA9,FKBP16,XAP2
AIPL1	
AIRE	APS1,PGA1
AK1	
AK2	
AK4P1	
AK5	
AKAP1	AKAP121,AKAP149,AKAP84,D-AKAP1,PPP1R43,S-AKAP84,SAKAP84,TDRD17
AKAP10	D-AKAP2,MGC9414,PRKA10
AKAP11	AKAP220,DKFZp781I12161,FLJ11304,KIAA0629,PPP1R44,PRKA11
AKAP12	AKAP250,SSeCKS
AKAP13	AKAP-Lbc,ARHGEF13,BRX,HA-3,Ht31,PROTO-LB,c-lbc
AKAP2	AKAP-KL,DKFZp564L0716,KIAA0920
AKAP3	AKAP110,CT82,FSP95,SOB1
AKAP4	AKAP82,CT99,Fsc1,hAKAP82,p82
AKAP5	AKAP75,AKAP79
AKAP6	ADAP6,AKAP100,KIAA0311,PRKA6,mAKAP
AKAP7	AKAP15,AKAP18
AKAP8	AKAP95,DKFZp586B1222
AKAP9	AKAP350,AKAP450,CG-NAP,HYPERION,KIAA0803,LQT11,MU-RMS-40.16A,PPP1R45,PRKA9,YOTIAO
AKR1A1	ALR,DD3
AKR1B1	AR
AKR1B10	AKR1B12,ALDRLn,ARL-1,ARL1,HSI
AKR1C1	DD1,DDH,HAKRC,MBAB
AKR1C2	BABP,DD,DD2,HAKRD,MCDR2
AKR1C3	DDX,HAKRB,KIAA0119,PGFS
AKR1C4	3-alpha-HSD,C11,CDR,DD4,HAKRA,MGC22581
AKR1D1	
AKR7A2	
