Domain	Description
BSD	domain in transcription factors and synapse-associated proteins
BTAD	Bacterial transcriptional activator domain
BTB	Broad-Complex, Tramtrack and Bric a brac
BTD	Beta-trefoil DNA-binding domain
btg1	tob/btg1 family
BTK	Bruton's tyrosine kinase Cys-rich motif
BTP	Bromodomain transcription factors and PHD domain containing proteins
Btz	CASC3/Barentsz eIF4AIII binding
BURP	
c-SKI_SMAD_bind	c-SKI Smad4 binding domain
C1	Protein kinase C conserved region 1 (C1) domains (Cysteine-rich domains)
C1_4	TFIIH C1-like domain
C1Q	Complement component C1q domain.
C2	Protein kinase C conserved region 2 (CalB)
C345C	Netrin C-terminal Domain
C4	C-terminal tandem repeated domain in type 4 procollagens
C6	
C8	
CA	Cadherin repeats.
Ca_chan_IQ	Voltage gated calcium channel IQ domain
Cache_2	
CactinC_cactus	Cactus-binding C-terminus of cactin protein
CAD	Domains present in proteins implicated in post-mortem DNA fragmentation
CADG	Dystroglycan-type cadherin-like domains.
Cadherin_pro	Cadherin prodomain like
CALCITONIN	calcitonin
calpain_III	
Calx_beta	Domains in Na-Ca exchangers and integrin-beta4
CaM_binding	Plant calmodulin-binding domain
CaMBD	Calmodulin binding domain
CAMSAP_CKK	Microtubule-binding calmodulin-regulated spectrin-associated
Candida_ALS_N	Cell-wall agglutinin N-terminal ligand-sugar binding
CAP10	Putative lipopolysaccharide-modifying enzyme.
CAP_GLY	
Carb_anhydrase	Eukaryotic-type carbonic anhydrase
CARD	Caspase recruitment domain
CarD_TRCF	CarD-like/TRCF domain
CARP	Domain in CAPs (cyclase-associated proteins) and X-linked retinitis pigmentosa 2 gene product.
CASc	Caspase, interleukin-1 beta converting enzyme (ICE) homologues
CASH	Domain present in carbohydrate binding proteins and sugar hydrolses
CAT	Chloramphenicol acetyltransferase
CAT_RBD	CAT RNA binding domain
Catalase	
Cation_ATPase_N	Cation transporter/ATPase, N-terminus
CBD_II	
CBD_IV	Cellulose Binding Domain Type IV
CBF	CCAAT-Binding transcription Factor
CBM49	Carbohydrate binding domain CBM49
CBM_10	Cellulose or protein binding domain
CBM_2	Starch binding domain
CBM_25	Carbohydrate binding domain
CBM_3	Cellulose binding domain
CBM_X	Putative carbohydrate binding domain
CBS	Domain in cystathionine beta-synthase and other proteins.
CCP	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
CDC37_C	Cdc37 C terminal domain
CDC37_M	Cdc37 Hsp90 binding domain
CDC37_N	Cdc37 N terminal kinase binding
CDC48_2	Cell division protein 48 (CDC48) domain 2
CDC48_N	Cell division protein 48 (CDC48) N-terminal domain
Cdc6_C	CDC6, C terminal
CDT1	DNA replication factor CDT1 like
CENPB	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.
CFEM	
CG-1	
Cg6151-P	Uncharacterized conserved protein CG6151-P
CGGC	
CH	Calponin homology domain
CHAD	
CHASE	
CHASE2	
CHB_HEX	Putative carbohydrate binding domain
CheW	Two component signalling adaptor domain
CHK	ZnF_C4 abd HLH domain containing kinases domain
CHRD	A domain in the BMP inhibitor chordin and in microbial proteins.
CHROMO	Chromatin organization modifier domain
ChSh	Chromo Shadow Domain
ChtBD1	Chitin binding domain
ChtBD2	Chitin-binding domain type 2
ChtBD3	Chitin-binding domain type 3
ChW	Clostridial hydrophobic, with a conserved W residue, domain.
CHZ	Histone chaperone domain CHZ
Cir_N	N-terminal domain of CBF1 interacting co-repressor CIR
Citrate_ly_lig	Citrate lyase ligase C-terminal domain
CK_II_beta	Casein kinase II regulatory subunit
CKS	Cyclin-dependent kinase regulatory subunit
CLa	CLUSTERIN alpha chain
CLb	CLUSTERIN Beta chain
CLECT	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
CLH	Clathrin heavy chain repeat homology
CLIP	Clip or disulphide knot domain
ClpB_D2-small	C-terminal, D2-small domain, of ClpB protein
CM_2	Chorismate mutase type II
CNH	Domain found in NIK1-like kinases, mouse citron and yeast ROM1, ROM2
cNMP	Cyclic nucleotide-monophosphate binding domain
CNX	Connexin homologues
CO_deh_flav_C	CO dehydrogenase flavoprotein C-terminal domain
CoA_binding	CoA binding domain
CoA_trans	Coenzyme A transferase
CobW_C	Cobalamin synthesis protein cobW C-terminal domain
Cog4	COG4 transport protein
COG6	Conserved oligomeric complex COG6
Col_cuticle_N	Nematode cuticle collagen N-terminal domain
COLFI	Fibrillar collagens C-terminal domain
COLIPASE	Colipase
Connexin_CCC	Gap junction channel protein cysteine-rich domain
Copper-fist	
CorC_HlyC	Transporter associated domain
Costars	
CP12	
CpcD	CpcD/allophycocyanin linker domain
CPDc	catalytic domain of ctd-like phosphatases
Cpl-7	Cpl-7 lysozyme C-terminal domain
Cpn10	Chaperonin 10 Kd subunit
CPSase_L_D3	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
CPSase_sm_chain	Carbamoyl-phosphate synthase small chain, CPSase domain
CPSF73-100_C	
CPW_WPC	
CRA	CT11-RanBPM
CRAL_TRIO_N	CRAL/TRIO, N-terminal domain
CRF	corticotropin-releasing factor
CRISPR_assoc	
CRM1_C	CRM1 C terminal
CRS1_YhbY	
CSF2	Granulocyte-macrophage colony-simulating factor (GM-CSF)
CSP	Cold shock protein domain
CT	C-terminal cystine knot-like domain (CTCK)
CTD	Spt5 C-terminal nonapeptide repeat binding Spt4
CTLH	C-terminal to LisH motif.
CTNS	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.
Cu_FIST	Copper-Fist
CUB	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
CUE	Domain that may be involved in binding ubiquitin-conjugating enzymes (UBCs)
CULLIN	Cullin
Cullin_Nedd8	Cullin protein neddylation domain
Cupin_1	Cupin
CUT	
Cutinase	
CVNH	
CW	
cwf21	
CXC	Tesmin/TSO1-like CXC domain
CxxC_CXXC_SSSS	Putative regulatory protein
CY	Cystatin-like domain
Cyanate_lyase	Cyanate lyase C-terminal domain, Cyanate hydratase
CYCc	Adenylyl- / guanylyl cyclase, catalytic domain
CYCLIN	domain present in cyclins, TFIIB and Retinoblastoma
CysPc	Calpain-like thiol protease family.
Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain
CYTH	
D-ser_dehydrat	Putative serine dehydratase domain
D5_N	D5 N terminal like
Dabb	Stress responsive A/B Barrel Domain
DAGKa	Diacylglycerol kinase accessory domain (presumed)
DAGKc	Diacylglycerol kinase catalytic domain (presumed)
Dak1_2	
Dak2	
DALR_1	DALR anticodon binding domain
DALR_2	
DAX	Domain present in Dishevelled and axin
DBB	Dof, BCAP, and BANK (DBB) motif
DBC1	
DBP10CT	DBP10CT (NUC160) domain
DBR1	Lariat debranching enzyme, C-terminal domain
DCD	
DCP2	Dcp2, box A domain
DCX	Domain in the Doublecortin (DCX) gene product
DDE_Tnp_IS1595	ISXO2-like transposase domain
dDENN	Domain always found downstream of DENN domain, found in a variety of signalling proteins
DDHD	
DDRGK	
DDT	domain in different transcription and chromosome remodeling factors
DEATH	DEATH domain, found in proteins involved in cell death (apoptosis).
DED	Death effector domain
DEFSN	Defensin/corticostatin family
DELLA	Transcriptional regulator DELLA protein N terminal
DENN	Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN
DeoC	DeoC/LacD family aldolase
DeoRC	DeoR C terminal sensor domain
DEP	Domain found in Dishevelled, Egl-10, and Pleckstrin
DEXDc	DEAD-like helicases superfamily
DEXDc2	
DEXDc3	
DHDPS	Dihydrodipicolinate synthetase family
DHHA2	
DIL	
DIRP	
DISIN	Homologues of snake disintegrins
DKCLD	DKCLD (NUC011) domain
DM	Doublesex DNA-binding motif
DM10	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
DM11	Domains in hypothetical proteins in Drosophila including 2 in CG15241 and CG9329.
DM13	Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
DM14	Repeats in fly CG4713, worm Y37H9A.3 and human FLJ20241.
DM15	Tandem repeat in fly CG14066 (La related protein), human KIAA0731 and worm R144.7. Unknown function.
DM16	Repeats in sea squirt COS41.4, worm R01H10.6, fly CG1126 etc.
DM3	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.
DM4_12	DM4/DM12 family of domains in Drosophila melanogaster proteins of unknown function.
DM5	Domain of unknown function, currently peculiar to Drosophila.
DM6	Cysteine-rich domain currently specific to Drosophila.
DM7	Domain of unknown function in Drosophila CG15332, CG15333 and CG18293
DM8	Repeats found in several Drosophila proteins.
DM9	Repeats found in Drosophila proteins.
DMAP_binding	DMAP1-binding Domain
DnaG_DnaB_bind	DNA primase DnaG DnaB-binding
DnaJ	DnaJ molecular chaperone homology domain
DNaseIc	deoxyribonuclease I
DoH	Possible catecholamine-binding domain present in a variety of eukaryotic proteins.
DP	Transcription factor DP
DPBB_1	Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Drf_FH3	Diaphanous FH3 Domain
Drf_GBD	Diaphanous GTPase-binding Domain
DRY_EERY	Alternative splicing regulator
DSHCT	
DSL	delta serrate ligand
DSPc	Dual specificity phosphatase, catalytic domain
DSRM	Double-stranded RNA binding motif
DSX_dimer	Doublesex dimerisation domain
DTW	
DUF1041	Domain of Unknown Function (DUF1041)
DUF1086	Domain of Unknown Function (DUF1086)
DUF1087	
DUF1220	Repeat of unknown function (DUF1220)
DUF1237	
DUF1338	
DUF1518	
DUF167	
DUF1693	Domain of unknown function (DUF1693)
DUF1704	
DUF1713	Mitochondrial domain of unknown function (DUF1713)
DUF1716	Eukaryotic domain of unknown function (DUF1716)
DUF1719	
DUF1741	
DUF1744	
DUF1751	Eukaryotic integral membrane protein (DUF1751)
DUF1767	
DUF1771	
DUF1785	
DUF1856	
DUF1866	
DUF1899	
DUF1900	
DUF1907	
DUF1943	
DUF1944	
DUF3402	Domain of unknown function (DUF3402)
DUF3585	
DUF3700	
DUF4187	
DUF4205	
DUF4206	
DUF4208	
DUF4210	
DUF4217	
DUF862	PPPDE putative peptidase domain
DUSP	Domain in ubiquitin-specific proteases.
DWA	Domain A in dwarfin family proteins
DWB	Domain B in dwarfin family proteins
DWNN	
DYNc	Dynamin, GTPase
DysFC	Dysferlin domain, C-terminal region.
DysFN	Dysferlin domain, N-terminal region.
DZF	domain in DSRM or ZnF_C2H2 domain containing proteins
E2_bind	
EAL	Putative diguanylate phosphodiesterase
EB_dh	Ethylbenzene dehydrogenase
ECIST_Cterm	C-terminal domain of the ECSIT protein
EF-1_beta_acid	Eukaryotic elongation factor 1 beta central acidic region
EF1_GNE	EF-1 guanine nucleotide exchange domain
EF1G	Elongation factor 1 gamma, conserved domain
EFG_C	Elongation factor G C-terminus
EFG_IV	Elongation factor G, domain IV
EFh	EF-hand, calcium binding motif
efhand_Ca_insen	Ca2+ insensitive EF hand
EFP	Elongation factor P (EF-P) OB domain
EGF	Epidermal growth factor-like domain.
EGF_CA	Calcium-binding EGF-like domain
EGF_Lam	Laminin-type epidermal growth factor-like domai
EGF_like	EGF domain, unclasssified subfamily
EH	Eps15 homology domain
eIF1a	eukaryotic translation initiation factor 1A
eIF2B_5	domain present in translation initiation factor eIF2B and eIF5
eIF3_N	eIF3 subunit 6 N terminal domain
eIF5C	Domain at the C-termini of GCD6, eIF-2B epsilon, eIF-4 gamma and eIF-5
eIF6	translation initiation factor 6
EKR	Domain of unknown function
ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Elicitin	
ELK	
ELM2	
Elong-fact-P_C	Elongation factor P, C-terminal
Elp3	Elongator protein 3, MiaB family, Radical SAM
EMP24_GP25L	emp24/gp25L/p24 family/GOLD
END	Endothelin
ENDO3c	endonuclease III
Endonuclease_NS	DNA/RNA non-specific endonuclease
Enolase_C	Enolase, C-terminal TIM barrel domain
Enolase_N	Enolase, N-terminal domain
ENT	
ENTH	Epsin N-terminal homology (ENTH) domain
EPEND	Ependymins
EPH_lbd	Ephrin receptor ligand binding domain
ERCC4	ERCC4 domain
eRF1_1	
ETF	Electron transfer flavoprotein domain
ETS	erythroblast transformation specific domain
Excalibur	Excalibur calcium-binding domain
EXOIII	
EZ_HEAT	E-Z type HEAT repeats
FA	FERM adjacent (FA)
FA58C	Coagulation factor 5/8 C-terminal domain, discoidin domain
FABD	F-actin binding domain (FABD)
FACT-Spt16_Nlob	FACT complex subunit SPT16 N-terminal lobe domain
FANCL_C	FANCL C-terminal domain
Fapy_DNA_glyco	Formamidopyrimidine-DNA glycosylase N-terminal domain
FAS1	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
FBA	F-box associated region
FBD	domain in FBox and BRCT domain containing plant proteins
FBG	Fibrinogen-related domains (FReDs)
FBOX	A Receptor for Ubiquitination Targets
fCBD	Fungal-type cellulose-binding domain
FCD	
FCH	Fes/CIP4 homology domain
FDF	
FDX-ACB	Ferredoxin-fold anticodon binding domain
Fe_hyd_SSU	Iron hydrogenase small subunit
FeoA	
FerA	
FerB	
FerI	
FERM_C	FERM C-terminal PH-like domain
FES	
FF	Contains two conserved F residues
FGF	Acidic and basic fibroblast growth factor family.
FH	FORKHEAD
FH2	Formin Homology 2 Domain
FHA	Forkhead associated domain
Fib_alpha	Fibrinogen alpha/beta chain family
Fibrillarin	
FIMAC	factor I membrane attack complex
FISNA	Fish-specific NACHT associated domain
FIST	FIST N domain
FIST_C	
FKS1_dom1	1,3-beta-glucan synthase subunit FKS1
Flavin_Reduct	Flavin reductase like domain
Flavokinase	Riboflavin kinase
Flo11	
Flu_M1_C	Influenza Matrix protein (M1) C-terminal domain
FMN_bind	
Fmp27_GFWDK	RNA pol II promoter Fmp27 protein domain
Fmp27_SW	RNA pol II promoter Fmp27 protein domain
Fmp27_WPPW	RNA pol II promoter Fmp27 protein domain Provide feedback
FN1	Fibronectin type 1 domain
FN2	Fibronectin type 2 domain
FN3	Fibronectin type 3 domain
Fn3_like	Fibronectin type III-like domain
FolB	Dihydroneopterin aldolase
FOLN	Follistatin-N-terminal domain-like
FoP_duplication	C-terminal duplication domain of Friend of PRMT1
Frataxin_Cyay	Frataxin-like domain
FRG	
FRI	Frizzled
FSA_C	Fragile site-associated protein C-terminus
FTCD	Formiminotransferase domain
FTCD_N	Formiminotransferase domain, N-terminal subdomain
FTO_NTD	FTO catalytic domain
FTP	eel-Fucolectin Tachylectin-4 Pentaxrin-1 Domain
FtsA	Cell division protein FtsA
Ftsk_gamma	
FU	Furin-like repeats
Fungal_trans	Fungal specific transcription factor domain
FYRC	"FY-rich" domain, C-terminal region
FYRN	"FY-rich" domain, N-terminal region
FYVE	Protein present in Fab1, YOTB, Vac1, and EEA1
G2F	G2 nidogen domain and fibulin
G3P_acyltransf	Glycerol-3-phosphate acyltransferase
G5	
G8	
G_alpha	G protein alpha subunit
G_gamma	GGL domain
G_patch	glycine rich nucleic binding domain
GA	GA module
GAF	Domain present in phytochromes and cGMP-specific phosphodiesterases.
GAGA_bind	GAGA binding protein-like family
Gal-bind_lectin	Galactoside-binding lectin
GAL4	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Galanin	Galanin
GARS_A	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
GARS_C	Phosphoribosylglycinamide synthetase, C domain
GAS2	Growth-Arrest-Specific Protein 2 Domain
GASTRIN	gastrin / cholecystokinin / caerulein family
GATase_5	CobB/CobQ-like glutamine amidotransferase domain
GatB_Yqey	GatB domain
GCK	
GDNF	GDNF/GAS1 domain
GED	Dynamin GTPase effector domain
GEL	Gelsolin homology domain
Germane	Sporulation and spore germination
GGDEF	diguanylate cyclase
GGL	G protein gamma subunit-like motifs
GHA	Glycoprotein hormone alpha chain homologues.
GHB	Glycoprotein hormone beta chain homologues.
GIDA_assoc_3	GidA associated domain 3
GIT	Helical motif in the GIT family of ADP-ribosylation factor GTPase-activating proteins
GIYc	GIY-YIG type nucleases (URI domain)
GLA	Domain containing Gla (gamma-carboxyglutamate) residues.
GLECT	Galectin
Gln-synt_C	Glutamine synthetase, catalytic domain
GLUCA	Glucagon like hormones
GluR_Homer-bdg	
Glyco_10	Glycosyl hydrolase family 10
Glyco_18	
Glyco_25	Glycosyl hydrolases family 25
Glyco_32	Glycosyl hydrolases family 32
GoLoco	LGN motif, putative GEFs specific for G-alpha GTPases
Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
GPS	G-protein-coupled receptor proteolytic site domain
GRAM	domain in glucosyltransferases, myotubularins and other putative membrane-associated proteins
GRAN	Granulin
Grip	golgin-97, RanBP2alpha,Imh1p and p230/golgin-245
GS	GS motif
GuKc	Guanylate kinase homologues.
GYF	Contains conserved Gly-Tyr-Phe residues
GYR	Motif of unknown function with conserved Gly, Tyr, Arg tripeptide in Drosophila proteins.
H-kinase_dim	Signal transducing histidine kinase, homodimeric domain
H15	Domain in histone families 1 and 5
H2A	Histone 2A
H2B	Histone H2B
H2TH	Formamidopyrimidine-DNA glycosylase H2TH domain
H3	Histone H3
H4	Histone H4
HA2	Helicase associated domain (HA2) Add an annotation
HABP4_PAI-RBP1	Hyaluronan / mRNA binding family
Haem_bd	Haem-binding domain
Haem_oxygenase_2	Iron-containing redox enzyme
Haemagg_act	haemagglutination activity domain
Haemolytic	
HALZ	homeobox associated leucin zipper
HAMP	HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain
HAT	HAT (Half-A-TPR) repeats
HATPase_c	Histidine kinase-like ATPases
HDAC_interact	Histone deacetylase (HDAC) interacting
HDc	Metal dependent phosphohydrolases with conserved 'HD' motif.
HECTc	Domain Homologous to E6-AP Carboxyl Terminus with
HELICc	helicase superfamily c-terminal domain
HELICc2	
HELICc3	
HEPN	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
HhH1	Helix-hairpin-helix DNA-binding motif class 1
HhH2	Helix-hairpin-helix class 2 (Pol1 family) motifs
HintC	Hint (Hedgehog/Intein) domain C-terminal region
HintN	Hint (Hedgehog/Intein) domain N-terminal region
HIRAN	
HisKA	His Kinase A (phosphoacceptor) domain
HLH	helix loop helix domain
HMG	high mobility group
HMG17	domain in high mobilty group proteins HMG14 and HMG 17
HNHc	HNH nucleases
HNS	Domain in histone-like proteins of HNS family
HOLI	Ligand binding domain of hormone receptors
HormR	Domain present in hormone receptors
HOX	Homeodomain
HPT	Histidine Phosphotransfer domain
Hr1	Rho effector or protein kinase C-related kinase homology region 1 homologues
HRDC	Helicase and RNase D C-terminal
HSA	domain in helicases and associated with SANT domains
HSF	heat shock factor
HTH_ARAC	helix_turn_helix, arabinose operon control protein
HTH_ARSR	helix_turn_helix, Arsenical Resistance Operon Repressor
HTH_ASNC	helix_turn_helix ASNC type
HTH_CRP	helix_turn_helix, cAMP Regulatory protein
HTH_DEOR	helix_turn_helix, Deoxyribose operon repressor
HTH_DTXR	Helix-turn-helix diphteria tox regulatory element
HTH_GNTR	helix_turn_helix gluconate operon transcriptional repressor
HTH_ICLR	helix_turn_helix isocitrate lyase regulation
HTH_LACI	helix_turn _helix lactose operon repressor
HTH_LUXR	helix_turn_helix, Lux Regulon
HTH_MARR	helix_turn_helix multiple antibiotic resistance protein
HTH_MERR	helix_turn_helix, mercury resistance
HTH_XRE	Helix-turn-helix XRE-family like proteins
HTTM	Horizontally Transferred TransMembrane Domain
HWE_HK	HWE histidine kinase
HX	Hemopexin-like repeats.
HYDRO	Hydrophobins
IB	Insulin growth factor-binding protein homologues
IBN_N	Importin-beta N-terminal domain
IBR	In Between Ring fingers
ICA69	Islet cell autoantigen ICA69, C-terminal domain
IDEAL	
IENR1	Intron encoded nuclease repeat motif
IENR2	Intron-encoded nuclease repeat 2
IFabd	Interferon alpha, beta and delta.
IG	Immunoglobulin
IG_FLMN	Filamin-type immunoglobulin domains
IG_like	Immunoglobulin like
IGc1	Immunoglobulin C-Type
IGc2	Immunoglobulin C-2 Type
IGR	
IGv	Immunoglobulin V-Type
IKKbetaNEMObind	I-kappa-kinase-beta NEMO binding domain
IL1	Interleukin-1 homologues
IL10	Interleukin-10 family
IL2	Interleukin-2 family
IL4_13	Interleukins 4 and 13
IL6	Interleukin-6 homologues
IL7	Interleukin-7 and interleukin-9 family.
IlGF	Insulin / insulin-like growth factor / relaxin family.
ILWEQ	I/LWEQ domain
IMPDH	IMP dehydrogenase / GMP reductase domain
INB	Integrin beta subunits (N-terminal portion of extracellular region)
Inhibitor_I29	Cathepsin propeptide inhibitor domain (I29)
Int_alpha	Integrin alpha (beta-propellor repeats).
Integrin_b_cyt	
Integrin_B_tail	
IPPc	Inositol polyphosphate phosphatase, catalytic domain homologues
IPT	ig-like, plexins, transcription factors
IQ	Short calmodulin-binding motif containing conserved Ile and Gln residues.
IRF	interferon regulatory factor
IRF-3	Interferon-regulatory factor 3
IRO	Motif in Iroquois-class homeodomain proteins (only). Unknown function.
IRS	Phosphotyrosine-binding domain
ITAM	Immunoreceptor tyrosine-based activation motif
JAB_MPN	JAB/MPN domain
Jacalin	Jacalin-like lectin domain
Jag_N	
JHBP	Juvenile hormone binding protein domains in insects.
JmjC	A domain family that is part of the cupin metalloenzyme superfamily.
JmjN	Small domain found in the jumonji family of transcription factors
Josephin	
KaiA	
KaiB	
KASH	Nuclear envelope localisation domain
KAT11	Histone acetylation protein
KAZAL	Kazal type serine protease inhibitors
KbaA	KinB-signalling pathway activation in sporulation
Kelch	
KH	K homology RNA-binding domain
KilA-N	
Kin17_mid	Domain of Kin17 curved DNA-binding protein
KIND	kinase non-catalytic C-lobe domain
KISc	Kinesin motor, catalytic domain. ATPase.
